6;6;1;4
6;6;2;5
6;6;3;6
6;6;4;1
6;6;5;2
6;6;6;3
6;8;1;5
6;8;2;2
6;8;2;7
6;8;3;8
6;8;4;1
6;8;5;3
6;8;5;6
6;8;6;4
6;10;1;6
6;10;1;7
6;10;2;3
6;10;2;9
6;10;3;10
6;10;4;1
6;10;4;2
6;10;5;4
6;10;5;8
6;10;6;5
6;12;1;7
6;12;1;8
6;12;2;3
6;12;2;10
6;12;3;11
6;12;3;12
6;12;4;1
6;12;4;2
6;12;5;4
6;12;5;9
6;12;6;5
6;12;6;6
6;14;1;8
6;14;1;9
6;14;2;3
6;14;2;11
6;14;3;12
6;14;3;13
6;14;3;14
6;14;4;1
6;14;4;2
6;14;5;4
6;14;5;10
6;14;6;5
6;14;6;6
6;14;6;7
8;6;1;4
8;6;2;2
8;6;3;5
8;6;4;6
8;6;5;1
8;6;6;5
8;6;7;2
8;6;8;3
8;8;1;5
8;8;2;6
8;8;3;7
8;8;4;8
8;8;5;1
8;8;6;2
8;8;7;3
8;8;8;4
8;10;1;1
8;10;2;3
8;10;3;4
8;10;4;5
8;10;5;6
8;10;6;8
8;10;7;9
8;10;8;10
8;10;-;2
8;10;-;7
8;12;1;1
8;12;2;3
8;12;3;4
8;12;4;5
8;12;4;6
8;12;5;7
8;12;6;9
8;12;7;10
8;12;8;11
8;12;8;12
8;12;-;2
8;12;-;8
8;14;1;1
8;14;2;2
8;14;3;3
8;14;4;4
8;14;4;5
8;14;4;6
8;14;4;7
8;14;5;8
8;14;6;9
8;14;7;10
8;14;8;11
8;14;8;12
8;14;8;13
8;14;8;14
10;6;1;4
10;6;2;4
10;6;3;2
10;6;4;5
10;6;5;6
10;6;6;1
10;6;7;1
10;6;8;5
10;6;9;2
10;6;10;3
10;8;1;1
10;8;2;-
10;8;3;2
10;8;4;3
10;8;5;4
10;8;6;5
10;8;7;-
10;8;8;6
10;8;9;7
10;8;10;8
10;10;1;6
10;10;2;7
10;10;3;8
10;10;4;9
10;10;5;10
10;10;6;1
10;10;7;2
10;10;8;3
10;10;9;4
10;10;10;5
10;12;1;1
10;12;2;2
10;12;3;3
10;12;4;4
10;12;5;5
10;12;5;6
10;12;6;7
10;12;7;8
10;12;8;9
10;12;9;10
10;12;10;11
10;12;10;12
10;14;1;1
10;14;2;2
10;14;3;3
10;14;4;4
10;14;5;5
10;14;5;6
10;14;5;7
10;14;6;8
10;14;7;9
10;14;8;10
10;14;9;11
10;14;10;12
10;14;10;13
10;14;10;14
12;6;1;4
12;6;2;4
12;6;3;2
12;6;4;5
12;6;5;6
12;6;6;6
12;6;7;1
12;6;8;1
12;6;9;5
12;6;10;2
12;6;11;3
12;6;12;3
12;8;1;1
12;8;2;-
12;8;3;2
12;8;4;3
12;8;5;4
12;8;6;4
12;8;7;5
12;8;8;-
12;8;9;6
12;8;10;7
12;8;11;8
12;8;12;8
12;10;1;1
12;10;2;2
12;10;3;3
12;10;4;4
12;10;5;5
12;10;6;5
12;10;7;6
12;10;8;7
12;10;9;8
12;10;10;9
12;10;11;10
12;10;12;10
12;12;1;7
12;12;2;8
12;12;3;9
12;12;4;10
12;12;5;11
12;12;6;12
12;12;7;1
12;12;8;2
12;12;9;3
12;12;10;4
12;12;11;5
12;12;12;6
12;14;1;1
12;14;2;2
12;14;3;3
12;14;4;4
12;14;5;5
12;14;6;6
12;14;6;7
12;14;7;8
12;14;8;9
12;14;9;10
12;14;10;11
12;14;11;12
12;14;12;13
12;14;12;14
14;6;1;4
14;6;2;4
14;6;3;2
14;6;4;5
14;6;5;6
14;6;6;6
14;6;7;6
14;6;8;1
14;6;9;1
14;6;10;5
14;6;11;2
14;6;12;3
14;6;13;3
14;6;14;3
14;8;1;1
14;8;2;2
14;8;3;3
14;8;4;4
14;8;5;4
14;8;6;4
14;8;7;4
14;8;8;5
14;8;9;6
14;8;10;7
14;8;11;8
14;8;12;8
14;8;13;8
14;8;14;8
14;10;1;1
14;10;2;2
14;10;3;3
14;10;4;4
14;10;5;5
14;10;6;5
14;10;7;5
14;10;8;6
14;10;9;7
14;10;10;8
14;10;11;9
14;10;12;10
14;10;13;10
14;10;14;10
14;12;1;1
14;12;2;2
14;12;3;3
14;12;4;4
14;12;5;5
14;12;6;6
14;12;7;6
14;12;8;7
14;12;9;8
14;12;10;9
14;12;11;10
14;12;12;11
14;12;13;12
14;12;14;12
14;14;1;8
14;14;2;9
14;14;3;10
14;14;4;11
14;14;5;12
14;14;6;13
14;14;7;14
14;14;8;1
14;14;9;2
14;14;10;3
14;14;11;4
14;14;12;5
14;14;13;6
14;14;14;7
